01/02/2023 14:07:11 - 0000:	 - train_loss: 0.907931:	 - test_loss: 0.803553:	 IoU 0.0015
01/02/2023 14:07:27 - 0001:	 - train_loss: 0.735359:	 - test_loss: 0.827594:	 IoU 0.0052
01/02/2023 14:07:43 - 0002:	 - train_loss: 0.610931:	 - test_loss: 0.539003:	 IoU 0.2752
01/02/2023 14:08:01 - 0003:	 - train_loss: 0.485493:	 - test_loss: 0.361919:	 IoU 0.4238
01/02/2023 14:08:16 - 0004:	 - train_loss: 0.451368:	 - test_loss: 0.313188:	 IoU 0.5135
01/02/2023 14:08:31 - 0005:	 - train_loss: 0.435683:	 - test_loss: 0.290521:	 IoU 0.5384
01/02/2023 14:08:47 - 0006:	 - train_loss: 0.415555:	 - test_loss: 0.285936:	 IoU 0.5468
01/02/2023 14:09:04 - 0007:	 - train_loss: 0.397571:	 - test_loss: 0.282949:	 IoU 0.5868
01/02/2023 14:11:15 - 0015:	 - train_loss: 0.387622:	 - test_loss: 0.216703:	 IoU 0.6194
01/02/2023 14:13:08 - 0022:	 - train_loss: 0.353034:	 - test_loss: 0.191772:	 IoU 0.6204
01/02/2023 14:13:24 - 0023:	 - train_loss: 0.337822:	 - test_loss: 0.189302:	 IoU 0.6474
01/02/2023 14:15:31 - 0031:	 - train_loss: 0.319170:	 - test_loss: 0.170804:	 IoU 0.6624
01/02/2023 14:16:50 - 0036:	 - train_loss: 0.303664:	 - test_loss: 0.169570:	 IoU 0.6672
01/02/2023 14:19:51 - 0047:	 - train_loss: 0.282958:	 - test_loss: 0.155812:	 IoU 0.6990
01/02/2023 14:20:08 - 0048:	 - train_loss: 0.296311:	 - test_loss: 0.157819:	 IoU 0.7102
01/02/2023 14:25:18 - 0068:	 - train_loss: 0.300978:	 - test_loss: 0.137681:	 IoU 0.7184
01/02/2023 14:29:08 - 0083:	 - train_loss: 0.280664:	 - test_loss: 0.131529:	 IoU 0.7431
01/02/2023 14:33:28 - 0100:	 - train_loss: 0.278218:	 - test_loss: 0.129173:	 IoU 0.7434
01/02/2023 14:37:11 - 0114:	 - train_loss: 0.282494:	 - test_loss: 0.128048:	 IoU 0.7459
01/02/2023 14:42:37 - 0135:	 - train_loss: 0.276234:	 - test_loss: 0.126346:	 IoU 0.7479
01/02/2023 14:46:14 - 0148:	 - train_loss: 0.236243:	 - test_loss: 0.115573:	 IoU 0.7618
01/02/2023 14:56:13 - 0186:	 - train_loss: 0.246529:	 - test_loss: 0.121453:	 IoU 0.7629
01/02/2023 15:03:42 - 0215:	 - train_loss: 0.264907:	 - test_loss: 0.121241:	 IoU 0.7642
01/02/2023 15:06:38 - 0226:	 - train_loss: 0.255703:	 - test_loss: 0.117346:	 IoU 0.7693
01/02/2023 15:11:45 - 0246:	 - train_loss: 0.244021:	 - test_loss: 0.120188:	 IoU 0.7696
01/02/2023 15:16:18 - 0263:	 - train_loss: 0.255590:	 - test_loss: 0.116427:	 IoU 0.7722
01/02/2023 15:18:17 - 0270:	 - train_loss: 0.255208:	 - test_loss: 0.113338:	 IoU 0.7786
